id;id_index;kode_provinsi;nama_provinsi;kab_kota;nama_jembatan;periode_update;kategori;jumlah;satuan;tahun
1151;300251909;35;JAWA TIMUR;KABUPATEN BONDOWOSO;A. YANI II;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
2404;300266945;35;JAWA TIMUR;KABUPATEN BONDOWOSO;A. YANI II;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
3657;300274463;35;JAWA TIMUR;KABUPATEN BONDOWOSO;A. YANI II;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4910;300259427;35;JAWA TIMUR;KABUPATEN BONDOWOSO;A. YANI II;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
6163;300281981;35;JAWA TIMUR;KABUPATEN BONDOWOSO;A. YANI II;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
7416;300289499;35;JAWA TIMUR;KABUPATEN BONDOWOSO;A. YANI II;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
1152;300251915;35;JAWA TIMUR;KABUPATEN BONDOWOSO;A. YANI V;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
2405;300266951;35;JAWA TIMUR;KABUPATEN BONDOWOSO;A. YANI V;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
3658;300274469;35;JAWA TIMUR;KABUPATEN BONDOWOSO;A. YANI V;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4911;300259433;35;JAWA TIMUR;KABUPATEN BONDOWOSO;A. YANI V;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
6164;300281987;35;JAWA TIMUR;KABUPATEN BONDOWOSO;A. YANI V;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
7417;300289505;35;JAWA TIMUR;KABUPATEN BONDOWOSO;A. YANI V;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
800;300249802;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN;2024-Q1;KONDISI RUSAK BERAT;1;UNIT;2024
2053;300264838;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN;2024-Q2;KONDISI RUSAK BERAT;1;UNIT;2024
3306;300272356;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN;2024-Q3;KONDISI RUSAK BERAT;1;UNIT;2024
4559;300257320;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN;2024-Q4;KONDISI RUSAK BERAT;1;UNIT;2024
5812;300279874;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN;2025-S1;KONDISI RUSAK BERAT;1;UNIT;2025
7065;300287392;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN;2025-S2;KONDISI RUSAK BERAT;1;UNIT;2025
801;300249809;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN I;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
2054;300264845;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN I;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
3307;300272363;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN I;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4560;300257327;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN I;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
5813;300279881;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN I;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
7066;300287399;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN I;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
802;300249815;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN II;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
2055;300264851;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN II;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
3308;300272369;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN II;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4561;300257333;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN II;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
5814;300279887;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN II;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
7067;300287405;35;JAWA TIMUR;KABUPATEN KEDIRI;ADAN - ADAN II;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
1233;300252400;35;JAWA TIMUR;KABUPATEN SAMPANG;AENG CELEP III;2024-Q1;KONDISI RUSAK BERAT;1;UNIT;2024
2486;300267436;35;JAWA TIMUR;KABUPATEN SAMPANG;AENG CELEP III;2024-Q2;KONDISI RUSAK BERAT;1;UNIT;2024
3739;300274954;35;JAWA TIMUR;KABUPATEN SAMPANG;AENG CELEP III;2024-Q3;KONDISI RUSAK BERAT;1;UNIT;2024
4992;300259918;35;JAWA TIMUR;KABUPATEN SAMPANG;AENG CELEP III;2024-Q4;KONDISI RUSAK BERAT;1;UNIT;2024
6245;300282472;35;JAWA TIMUR;KABUPATEN SAMPANG;AENG CELEP III;2025-S1;KONDISI RUSAK BERAT;1;UNIT;2025
7498;300289990;35;JAWA TIMUR;KABUPATEN SAMPANG;AENG CELEP III;2025-S2;KONDISI RUSAK BERAT;1;UNIT;2025
1081;300251489;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG II;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
2334;300266525;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG II;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
3587;300274043;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG II;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4840;300259007;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG II;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
6093;300281561;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG II;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
7346;300289079;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG II;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
1105;300251633;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG IV;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
2358;300266669;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG IV;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
3611;300274187;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG IV;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4864;300259151;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG IV;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
6117;300281705;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG IV;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
7370;300289223;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG IV;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
1106;300251640;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG V;2024-Q1;KONDISI RUSAK SEDANG;1;UNIT;2024
2359;300266676;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG V;2024-Q2;KONDISI RUSAK SEDANG;1;UNIT;2024
3612;300274194;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG V;2024-Q3;KONDISI RUSAK SEDANG;1;UNIT;2024
4865;300259158;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG V;2024-Q4;KONDISI RUSAK SEDANG;1;UNIT;2024
6118;300281712;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG V;2025-S1;KONDISI RUSAK SEDANG;1;UNIT;2025
7371;300289230;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG V;2025-S2;KONDISI RUSAK SEDANG;1;UNIT;2025
1107;300251646;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG VI;2024-Q1;KONDISI RUSAK SEDANG;1;UNIT;2024
2360;300266682;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG VI;2024-Q2;KONDISI RUSAK SEDANG;1;UNIT;2024
3613;300274200;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG VI;2024-Q3;KONDISI RUSAK SEDANG;1;UNIT;2024
4866;300259164;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG VI;2024-Q4;KONDISI RUSAK SEDANG;1;UNIT;2024
6119;300281718;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG VI;2025-S1;KONDISI RUSAK SEDANG;1;UNIT;2025
7372;300289236;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG VI;2025-S2;KONDISI RUSAK SEDANG;1;UNIT;2025
1108;300251651;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG VII;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
2361;300266687;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG VII;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
3614;300274205;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG VII;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4867;300259169;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG VII;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
6120;300281723;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG VII;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
7373;300289241;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNG VII;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
1080;300251482;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNGKLOPO;2024-Q1;KONDISI RUSAK BERAT;1;UNIT;2024
2333;300266518;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNGKLOPO;2024-Q2;KONDISI RUSAK BERAT;1;UNIT;2024
3586;300274036;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNGKLOPO;2024-Q3;KONDISI RUSAK BERAT;1;UNIT;2024
4839;300259000;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNGKLOPO;2024-Q4;KONDISI RUSAK BERAT;1;UNIT;2024
6092;300281554;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNGKLOPO;2025-S1;KONDISI RUSAK BERAT;1;UNIT;2025
7345;300289072;35;JAWA TIMUR;KABUPATEN JEMBER;AJUNGKLOPO;2025-S2;KONDISI RUSAK BERAT;1;UNIT;2025
578;300248471;35;JAWA TIMUR;KABUPATEN MAGETAN;ALAS POGOG II;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
1821;300263447;35;JAWA TIMUR;KABUPATEN MAGETAN;ALAS POGOG II;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
3074;300270965;35;JAWA TIMUR;KABUPATEN MAGETAN;ALAS POGOG II;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4327;300255929;35;JAWA TIMUR;KABUPATEN MAGETAN;ALAS POGOG II;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
5580;300278483;35;JAWA TIMUR;KABUPATEN MAGETAN;ALAS POGOG II;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
6833;300286001;35;JAWA TIMUR;KABUPATEN MAGETAN;ALAS POGOG II;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
361;300247169;35;JAWA TIMUR;KABUPATEN TUBAN;ALAS TUWO;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
1604;300262145;35;JAWA TIMUR;KABUPATEN TUBAN;ALAS TUWO;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
